"pathway","name_for_plot","up_in","db_type"
"REACTOME_SIGNALING_BY_INTERLEUKINS","Signaling by interleukins","Effector/Exhausted CD8+ T cells","KEGG_GO"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","Cytokine receptor interaction","Effector/Exhausted CD8+ T cells","KEGG_GO"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","Cytokine signaling","Effector/Exhausted CD8+ T cells","KEGG_GO"
"GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION","Leukocyte proliferation","Effector/Exhausted CD8+ T cells","KEGG_GO"
"GO_LYMPHOCYTE_CHEMOTAXIS","Lymphocyte chemotaxis","Effector/Exhausted CD8+ T cells","KEGG_GO"
"GO_T_CELL_MIGRATION","T cell migration","Effector/Exhausted CD8+ T cells","KEGG_GO"
"GO_T_CELL_CHEMOTAXIS","T cell chemotaxis","Effector/Exhausted CD8+ T cells","KEGG_GO"
"REACTOME_BINDING_OF_TCF_LEF:CTNNB1_TO_TARGET_GENE_PROMOTERS","Binding of TCF/LEF to target genes","Stem-like CD8+ T cells","KEGG_GO"
"GO_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN","Negative regulation of cell adhesion","Stem-like CD8+ T cells","KEGG_GO"
"GO_CANONICAL_WNT_SIGNALING_PATHWAY","Canonical WNT signaling pathway","Stem-like CD8+ T cells","KEGG_GO"
"GO_BETA_CATENIN_TCF_COMPLEX","Beta- Catenin-TCF complex","Stem-like CD8+ T cells","KEGG_GO"
"GO_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE","Regulation of stem cell population","Stem-like CD8+ T cells","KEGG_GO"
"Miller_cd8_effector_like","Effector-like","Effector/Exhausted CD8+ T cells","Literature"
"Evasion_T_exhaust_fixed_pos","Exhausted T cells","Effector/Exhausted CD8+ T cells","Literature"
"Miller_cd8_terminally_exhausted","Terminally exhausted-1","Effector/Exhausted CD8+ T cells","Literature"
"Terminally Exhausted (Beltra2020)","Terminally exhausted-2","Effector/Exhausted CD8+ T cells","Literature"
"Transitory vs. Stem-like Day15 (Hudson2019)","Transitory vs. stem-like","Effector/Exhausted CD8+ T cells","Literature"
"Transitory vs. Exhausted Day15 (Hudson2019)","Transitory vs. exhausted","Effector/Exhausted CD8+ T cells","Literature"
"signature_naive_cd8_wherry_intersect_naive_vs_d8_d15_d30_up","Naïve CD8- 1","Stem-like CD8+ T cells","Literature"
"signature_msigdb_NaiveCD8_20160704.mouse","Naïve CD8- 2","Stem-like CD8+ T cells","Literature"
"Stem-like vs. Transitory (Hudson2019)","Stem−like vs. transitory","Stem-like CD8+ T cells","Literature"
